bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
31694,555,248265,447.324324324324
31744,533,247544,464.435272045028
31849,558,247338,443.258064516129
31911,548,247202,451.098540145985
31722,514,246163,478.916342412451
31829,505,246073,487.273267326733
27558,328,246001,750.003048780488
33372,215,245769,1143.11162790698
33634,468,244883,523.254273504274
33554,377,243919,647
31926,546,243661,446.265567765568
31808,566,243356,429.957597173145
31875,536,243053,453.457089552239
31867,551,242269,439.689655172414
33559,437,242106,554.018306636156
31697,535,241171,450.78691588785
31704,528,240459,455.414772727273
33623,389,239461,615.580976863753
31713,546,238806,437.373626373626
31725,518,238658,460.72972972973
31738,539,238293,442.102040816327
33677,327,236850,724.311926605505
31777,509,236753,465.133595284872
31721,526,234727,446.249049429658
33586,346,233797,675.71387283237
31860,488,233258,477.987704918033
31688,408,232958,570.975490196079
31778,550,231700,421.272727272727
31884,451,231640,513.614190687362
31776,522,228724,438.168582375479
31695,479,228355,476.732776617954
31865,541,226934,419.47134935305
31759,505,225137,445.815841584158
42146,106,224884,2121.54716981132
31933,437,224180,512.997711670481
31743,458,222606,486.039301310044
31714,336,222540,662.321428571429
31773,520,219225,421.586538461539
31832,475,216904,456.64
31716,475,216305,455.378947368421
31816,459,215704,469.943355119826
31940,544,215448,396.044117647059
31847,503,214803,427.043737574553
31742,427,214727,502.873536299766
33695,352,212090,602.528409090909
31691,521,211379,405.717850287908
42553,79,209520,2652.15189873418
31817,428,207541,484.908878504673
31715,440,205526,467.104545454546
42574,67,205488,3066.98507462687
31769,417,204922,491.419664268585
31732,436,204532,469.110091743119
31912,451,204525,453.492239467849
25066,106,202293,1908.42452830189
26231,252,201682,800.325396825397
31751,488,200177,410.198770491803
33629,320,198776,621.175
31701,438,198514,453.228310502283
31870,424,198308,467.707547169811
31538,302,197820,655.033112582782
31864,451,197160,437.161862527716
33610,310,194723,628.138709677419
31539,321,189300,589.719626168224
33565,295,188783,639.942372881356
31872,403,187938,466.347394540943
31914,444,187018,421.211711711712
42444,67,186913,2789.74626865672
33567,302,186199,616.55298013245
31866,441,186010,421.791383219955
32259,370,185426,501.151351351351
29501,262,184823,705.431297709924
31845,443,184696,416.920993227991
31574,262,184258,703.274809160305
33564,356,182050,511.376404494382
33663,321,180988,563.82554517134
32769,359,178450,497.075208913649
33577,346,178414,515.647398843931
42586,82,176414,2151.39024390244
31873,390,173677,445.325641025641
31733,402,173203,430.853233830846
30987,303,171079,564.617161716172
