bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
34931,2860,2475531,865.57027972028
34013,2862,2475267,864.873165618449
35069,2932,2471052,842.787175989086
31941,1799,2470896,1373.48304613674
34154,2843,2470810,869.085473091805
34344,2731,2470214,904.508971072867
34353,2068,2469814,1194.30077369439
34010,2154,2469262,1146.36118848654
35074,2844,2468652,868.021097046414
29730,1119,2468168,2205.69079535299
34114,2683,2468159,919.925083861349
32679,1768,2468115,1395.99264705882
34016,2851,2467443,865.465801473167
35355,2823,2467395,874.03294367694
35017,2746,2467172,898.46030589949
28067,1378,2467170,1790.39912917271
34953,2589,2467066,952.903051371186
34266,2923,2466892,843.95894628806
26136,885,2463543,2783.66440677966
34925,2313,2463267,1064.96627756161
38551,1429,2463231,1723.74457662701
19957,603,2462776,4084.2056384743
15525,1065,2462608,2312.30798122066
25524,922,2461736,2669.99566160521
35289,2653,2461389,927.775725593668
29933,1520,2461076,1619.12894736842
35224,2345,2459636,1048.88528784648
33871,2763,2459240,890.061527325371
35098,2665,2458702,922.589868667917
34084,1852,2456903,1326.62149028078
20584,1065,2456709,2306.76901408451
35368,2792,2455534,879.489255014327
35022,2701,2455461,909.09329877823
25346,993,2454355,2471.65659617321
33784,2788,2454264,880.295552367288
33964,2674,2453417,917.50822737472
18699,986,2453223,2488.05578093306
34214,2680,2452990,915.294776119403
32764,1334,2452557,1838.49850074963
39060,593,2450927,4133.09780775717
20934,792,2449879,3093.28156565657
32683,1827,2449693,1340.82813355227
33786,2711,2448968,903.344891184065
28344,645,2448895,3796.73643410853
34113,1472,2448768,1663.5652173913
35214,2525,2447391,969.263762376238
35027,2901,2447384,843.634608755602
27064,1071,2447042,2284.8197945845
35344,2541,2447023,963.015741833924
34192,2754,2446632,888.392156862745
33984,2573,2446604,950.876020209872
35081,2598,2446573,941.714010777521
24931,899,2446492,2721.34816462736
35359,2685,2445848,910.930353817505
35373,2869,2444842,852.158243290345
29989,1536,2444674,1591.58463541667
35371,2749,2444174,889.113859585304
39686,1078,2444052,2267.20964749536
35120,2738,2443914,892.590942293645
35258,2339,2442144,1044.09747755451
33775,2854,2442046,855.657323055361
32303,1394,2441998,1751.79196556671
32514,1748,2441273,1396.60926773455
33903,2453,2440531,994.916836526702
35125,2598,2440523,939.385296381832
35388,2772,2439837,880.172077922078
35109,2877,2439534,847.943691345151
35213,2920,2438604,835.138356164384
35149,2696,2437418,904.086795252226
30590,1711,2436995,1424.31034482759
18281,1016,2436947,2398.56988188976
30107,1402,2436900,1738.15977175464
15938,781,2435986,3119.06017925736
35009,2847,2434216,855.010888654724
33781,2889,2433739,842.415714780201
34849,2812,2433445,865.378733997155
35161,2648,2431906,918.393504531722
34313,2857,2431386,851.027651382569
34846,2815,2431234,863.671047957371
15627,808,2431104,3008.79207920792
41821,376,2430247,6463.42287234043
34379,2805,2429685,866.197860962567
24835,833,2429572,2916.65306122449
27649,1338,2429039,1815.42526158445
24844,1507,2428769,1611.65826144658
34847,2401,2428492,1011.45022907122
35104,2698,2427379,899.695700518903
34951,2764,2427270,878.172937771346
34943,2461,2426561,986.0060950833
35588,2674,2426333,907.379581151833
35386,2627,2426184,923.556909021698
34311,2705,2424959,896.472828096118
35025,2805,2423459,863.97825311943
33357,1279,2423201,1894.6059421423
34987,2508,2422457,965.891945773525
33877,3006,2420234,805.134397870925
34000,2831,2419946,854.802543270929
35180,2414,2419830,1002.41507870754
18217,902,2419336,2682.19068736142
34232,2286,2418870,1058.12335958005
33146,1598,2418746,1513.60826032541
34178,2695,2418201,897.291651205937
28996,1139,2417938,2122.86040386304
38919,1072,2417180,2254.83208955224
34206,2648,2416518,912.582326283988
33958,2812,2415495,858.995376955903
34936,2649,2415465,911.840317100793
27939,788,2414912,3064.60913705584
34401,2161,2414696,1117.39750115687
35192,2800,2414452,862.304285714286
35160,2917,2412852,827.169009256085
34102,2551,2412685,945.78008624069
38295,1492,2411932,1616.5764075067
35358,2534,2410591,951.298737174428
34200,2571,2410383,937.527421236873
34109,2697,2410051,893.604375231739
32105,1726,2409645,1396.08632676709
