"","stationId","stationName","latitude","longitude","hires"
"215","3178","Riverside Dr & W 78 St",40.78414472,-73.98362492,2437
"216","3179","Park Ave & Marcus Garvey Blvd",40.698617,-73.941342,324
"217","3182","Yankee Ferry Terminal",40.68693,-74.01697,4208
"218","319","Fulton St & Broadway",40.711066,-74.009447,2587
"219","3198","Heights Elevator",40.74872,-74.04044,2
"220","3199","Newport Pkwy",40.7287448,-74.0321082,3
"221","320","Leonard St & Church St",40.717571,-74.005549,1454
"222","3202","Newport PATH",40.72722,-74.03376,1
"223","3203","Hamilton Park",40.7276,-74.04425,2
"224","3205","JC Medical Center",40.71654,-74.04964,1
"225","321","Cadman Plaza E & Red Cross Pl",40.69991755,-73.98971773,2401
"226","3221","47 Ave & 31 St",40.743,-73.93561,226
"227","3223","E 55 St & 3 Ave",40.7589965596051,-73.9686539769173,231
"228","3226","W 82 St & Central Park West",40.78275,-73.97137,1923
"229","323","Lawrence St & Willoughby St",40.69236178,-73.98631746,1610
"230","3231","E 67 St & Park Ave",40.7678008014813,-73.9659208059311,843
"231","3232","Bond St & Fulton St",40.6896218879033,-73.9830426871777,2502
"232","3233","E 48 St & 5 Ave",40.7572456791173,-73.978059142828,1869
"233","3235","E 41 St & Madison Ave",40.752165280622,-73.9799219369888,1266
"234","3236","W 42 St & Dyer Ave",40.7589848139963,-73.9937996864319,1812
"235","324","DeKalb Ave & Hudson Ave",40.689888,-73.981013,1424
"236","3241","Monroe St & Tompkins Ave",40.686203,-73.944694,553
"237","3242","Schermerhorn St & Court St",40.6910292567797,-73.991833627224,1294
"238","3243","E 58 St & 1 Ave (NE Corner)",40.7589238637769,-73.9622622728348,745
"239","3244","University Pl & E 8 St",40.73144,-73.9949,2597
"240","3245","NYCBS DEPOT - DELANCEY",40.71644,-73.98233,2
"241","3249","Verona Pl & Fulton St",40.6803560840434,-73.9476791024208,482
"242","325","E 19 St & 3 Ave",40.73624527,-73.98473765,2002
"243","3254","Soissons Landing",40.69232,-74.01487,4487
"244","3255","8 Ave & W 31 St",40.7505853470215,-73.9946848154068,3307
"245","3256","Pier 40 - Hudson River Park",40.7277140777778,-74.011295735836,7438
"246","3258","W 27 St & 10 Ave",40.7501815632568,-74.0021842718124,1555
"247","3259","9 Ave & W 28 St",40.7493702419328,-73.9992338418961,2761
"248","326","E 11 St & 1 Ave",40.72953837,-73.98426726,4099
"249","3260","Mercer St & Bleecker St",40.7270636334831,-73.9966213703155,3395
"250","3263","Cooper Square & Astor Pl",40.7295149622495,-73.990752696991,3960
"251","327","Vesey Pl & River Terrace",40.7153379,-74.01658354,5323
"252","328","Watts St & Greenwich St",40.72405549,-74.00965965,2629
"253","3282","5 Ave & E 88 St",40.78307,-73.95939,7527
"254","3283","W 89 St & Columbus Ave",40.7882213,-73.97041561,1489
"255","3284","E 88 St & Park Ave",40.78141070019,-73.9559590816498,999
"256","3285","W 87 St & Amsterdam Ave",40.78839,-73.9747,1139
"257","3286","E 89 St & 3 Ave",40.7806284,-73.9521667,1334
"258","3287","W 87 St & West End Ave",40.78962,-73.97757,296
"259","3288","E 88 St & 1 Ave",40.778301,-73.9488134,1244
"260","3289","W 90 St & Amsterdam Ave",40.7901794809508,-73.9728891849518,737
"261","3290","E 89 St & York Ave",40.7779453,-73.946041,943
"262","3292","5 Ave & E 93 St",40.7857851,-73.957481,3050
"263","3293","W 92 St & Broadway",40.7921,-73.9739,941
"264","3294","E 91 St & Park Ave",40.7835016,-73.955327,747
"265","3295","Central Park W & W 96 St",40.79127,-73.964839,4046
"266","3296","E 93 St & 2 Ave",40.7824541752799,-73.9489196240902,692
"267","3297","6 St & 7 Ave",40.6686627,-73.97988067,437
"268","3298","Warren St & Court St",40.686371,-73.99383324,905
"269","3299","E 98 St & Park Ave",40.78813,-73.95206,277
"270","330","Reade St & Broadway",40.71450451,-74.00562789,1386
"271","3300","Prospect Park West & 8 St",40.6651468153379,-73.9763760566711,1378
"272","3301","Columbus Ave & W 95 St",40.7919557,-73.968087,2172
"273","3302","Columbus Ave & W 103 St",40.7969347,-73.9643412291,208
"274","3303","Butler St & Court St",40.6849894,-73.99440329,585
"275","3304","6 Ave & 9 St",40.668127,-73.98377641,807
"276","3305","E 91 St & 2 Ave",40.7811222993417,-73.9496558904648,1465
"277","3306","10 St & 7 Ave",40.6662078,-73.98199886,719
"278","3307","West End Ave & W 94 St",40.7941654,-73.974124,1119
"279","3308","Kane St & Clinton St",40.6861758,-73.99645295,820
"280","3309","E 97 St & 3 Ave",40.7859201,-73.94860294,318
"281","331","Pike St & Monroe St",40.71173107,-73.99193043,1747
"282","3310","14 St & 7 Ave",40.663779,-73.98396846,914
"283","3311","Columbia St & Kane St",40.68763155,-74.0016256,979
"284","3312","1 Ave & E 94 St",40.7817212,-73.94594,859
"285","3313","6 Ave & 12 St",40.6663181,-73.9854617,521
"286","3314","W 95 St & Broadway",40.7937704,-73.971888,1794
"287","3315","Henry St & Degraw St",40.6847514,-73.99917254,1167
"288","3317","10 St & 5 Ave",40.6686273,-73.98700053,605
"289","3318","2 Ave & E 96 St",40.7839636,-73.9471673,1358
"290","3319","14 St & 5 Ave",40.666287,-73.98895053,985
"291","332","Cherry St",40.71219906,-73.97948148,2074
"292","3320","Central Park West & W 100 St",40.7940666081855,-73.9628684520721,3369
"293","3321","Clinton St & Union St",40.6831164,-73.99785267,786
"294","3322","12 St & 4 Ave",40.668603,-73.9904394,355
"295","3323","W 106 St & Central Park West",40.7981856,-73.9605909006,1687
"296","3324","3 Ave & 14 St",40.6685455,-73.99333264,412
"297","3325","E 95 St & 3 Ave",40.7849,-73.9505,82
"298","3326","Clinton St & Centre St",40.67434,-74.00194698,246
"299","3327","3 Ave & E 100 St",40.7877214,-73.94728331,270
"300","3328","W 100 St & Manhattan Ave",40.795,-73.9645,1159
"301","3329","Degraw St & Smith St",40.6829151,-73.99318208,1014
"302","3330","Henry St & Bay St",40.6725058,-74.00494695,370
"303","3331","Riverside Dr & W 104 St",40.8013434,-73.9711457439,1542
"304","3332","Degraw St & Hoyt St",40.681990442707,-73.9907902479172,635
"305","3333","Columbia St & Lorraine St",40.6747055,-74.0075572,159
"306","3335","Union St & 4 Ave",40.6772744,-73.98282002,1214
"307","3336","E 97 St & Madison Ave",40.787801,-73.953559,1263
"308","3337","Dwight St & Van Dyke St",40.673635513415,-74.0119555592537,381
"309","3338","2 Ave & E 99 St",40.7862586,-73.94552579,322
"310","3339","Berkeley Pl & 6 Ave",40.6765304,-73.97846879,691
"311","334","W 20 St & 7 Ave",40.74238787,-73.99726235,3081
"312","3340","Wolcott St & Dwight St",40.6753274,-74.0100698,236
"313","3341","Central Park West & W 102 St",40.795346,-73.96186,831
